,Age Group,Sex,Year,Count
All Cancer Sites Combined,20-24,F,2008.0,19.0
All Cancer Sites Combined,20-24,F,2009.0,18.0
All Cancer Sites Combined,20-24,F,2011.0,17.0
All Cancer Sites Combined,20-24,M,2010.0,23.0
All Cancer Sites Combined,25-29,F,1999.0,19.0
All Cancer Sites Combined,25-29,F,2000.0,20.0
All Cancer Sites Combined,25-29,F,2001.0,18.0
All Cancer Sites Combined,25-29,F,2002.0,20.0
All Cancer Sites Combined,25-29,F,2004.0,20.0
All Cancer Sites Combined,25-29,F,2005.0,18.0
All Cancer Sites Combined,25-29,F,2006.0,23.0
All Cancer Sites Combined,25-29,F,2007.0,28.0
All Cancer Sites Combined,25-29,F,2008.0,34.0
All Cancer Sites Combined,25-29,F,2009.0,28.0
All Cancer Sites Combined,25-29,F,2010.0,20.0
All Cancer Sites Combined,25-29,F,2011.0,27.0
All Cancer Sites Combined,25-29,M,1999.0,17.0
All Cancer Sites Combined,25-29,M,2000.0,19.0
All Cancer Sites Combined,25-29,M,2005.0,20.0
All Cancer Sites Combined,25-29,M,2006.0,20.0
All Cancer Sites Combined,25-29,M,2007.0,22.0
All Cancer Sites Combined,25-29,M,2009.0,19.0
All Cancer Sites Combined,25-29,M,2010.0,23.0
All Cancer Sites Combined,25-29,M,2011.0,22.0
All Cancer Sites Combined,30-34,F,1999.0,23.0
All Cancer Sites Combined,30-34,F,2000.0,26.0
All Cancer Sites Combined,30-34,F,2001.0,24.0
All Cancer Sites Combined,30-34,F,2002.0,30.0
All Cancer Sites Combined,30-34,F,2003.0,32.0
All Cancer Sites Combined,30-34,F,2004.0,32.0
All Cancer Sites Combined,30-34,F,2005.0,27.0
All Cancer Sites Combined,30-34,F,2006.0,22.0
All Cancer Sites Combined,30-34,F,2007.0,33.0
All Cancer Sites Combined,30-34,F,2008.0,23.0
All Cancer Sites Combined,30-34,F,2009.0,27.0
All Cancer Sites Combined,30-34,F,2010.0,20.0
All Cancer Sites Combined,30-34,F,2011.0,38.0
All Cancer Sites Combined,30-34,M,1999.0,17.0
All Cancer Sites Combined,30-34,M,2000.0,21.0
All Cancer Sites Combined,30-34,M,2001.0,21.0
All Cancer Sites Combined,30-34,M,2002.0,26.0
All Cancer Sites Combined,30-34,M,2003.0,22.0
All Cancer Sites Combined,30-34,M,2004.0,21.0
All Cancer Sites Combined,30-34,M,2005.0,16.0
All Cancer Sites Combined,30-34,M,2006.0,17.0
All Cancer Sites Combined,30-34,M,2007.0,32.0
All Cancer Sites Combined,30-34,M,2008.0,25.0
All Cancer Sites Combined,30-34,M,2009.0,26.0
All Cancer Sites Combined,30-34,M,2010.0,28.0
All Cancer Sites Combined,30-34,M,2011.0,32.0
All Cancer Sites Combined,35-39,F,1999.0,46.0
All Cancer Sites Combined,35-39,F,2000.0,30.0
All Cancer Sites Combined,35-39,F,2001.0,41.0
All Cancer Sites Combined,35-39,F,2002.0,36.0
All Cancer Sites Combined,35-39,F,2003.0,31.0
All Cancer Sites Combined,35-39,F,2004.0,35.0
All Cancer Sites Combined,35-39,F,2005.0,41.0
All Cancer Sites Combined,35-39,F,2006.0,53.0
All Cancer Sites Combined,35-39,F,2007.0,64.0
All Cancer Sites Combined,35-39,F,2008.0,41.0
All Cancer Sites Combined,35-39,F,2009.0,35.0
All Cancer Sites Combined,35-39,F,2010.0,45.0
All Cancer Sites Combined,35-39,F,2011.0,45.0
All Cancer Sites Combined,35-39,M,1999.0,31.0
All Cancer Sites Combined,35-39,M,2000.0,27.0
All Cancer Sites Combined,35-39,M,2001.0,27.0
All Cancer Sites Combined,35-39,M,2002.0,36.0
All Cancer Sites Combined,35-39,M,2003.0,25.0
All Cancer Sites Combined,35-39,M,2004.0,22.0
All Cancer Sites Combined,35-39,M,2005.0,29.0
All Cancer Sites Combined,35-39,M,2006.0,22.0
All Cancer Sites Combined,35-39,M,2007.0,22.0
All Cancer Sites Combined,35-39,M,2008.0,28.0
All Cancer Sites Combined,35-39,M,2009.0,38.0
All Cancer Sites Combined,35-39,M,2010.0,34.0
All Cancer Sites Combined,35-39,M,2011.0,28.0
All Cancer Sites Combined,40-44,F,1999.0,42.0
All Cancer Sites Combined,40-44,F,2000.0,47.0
All Cancer Sites Combined,40-44,F,2001.0,48.0
All Cancer Sites Combined,40-44,F,2002.0,44.0
All Cancer Sites Combined,40-44,F,2003.0,42.0
All Cancer Sites Combined,40-44,F,2004.0,62.0
All Cancer Sites Combined,40-44,F,2005.0,51.0
All Cancer Sites Combined,40-44,F,2006.0,54.0
All Cancer Sites Combined,40-44,F,2007.0,66.0
All Cancer Sites Combined,40-44,F,2008.0,69.0
All Cancer Sites Combined,40-44,F,2009.0,61.0
All Cancer Sites Combined,40-44,F,2010.0,81.0
All Cancer Sites Combined,40-44,F,2011.0,72.0
All Cancer Sites Combined,40-44,M,1999.0,39.0
All Cancer Sites Combined,40-44,M,2000.0,31.0
All Cancer Sites Combined,40-44,M,2001.0,50.0
All Cancer Sites Combined,40-44,M,2002.0,46.0
All Cancer Sites Combined,40-44,M,2003.0,44.0
All Cancer Sites Combined,40-44,M,2004.0,42.0
All Cancer Sites Combined,40-44,M,2005.0,42.0
All Cancer Sites Combined,40-44,M,2006.0,49.0
All Cancer Sites Combined,40-44,M,2007.0,61.0
All Cancer Sites Combined,40-44,M,2008.0,62.0
All Cancer Sites Combined,40-44,M,2009.0,55.0
All Cancer Sites Combined,40-44,M,2010.0,56.0
All Cancer Sites Combined,40-44,M,2011.0,44.0
All Cancer Sites Combined,45-49,F,1999.0,59.0
All Cancer Sites Combined,45-49,F,2000.0,50.0
All Cancer Sites Combined,45-49,F,2001.0,65.0
All Cancer Sites Combined,45-49,F,2002.0,66.0
All Cancer Sites Combined,45-49,F,2003.0,65.0
All Cancer Sites Combined,45-49,F,2004.0,65.0
All Cancer Sites Combined,45-49,F,2005.0,65.0
All Cancer Sites Combined,45-49,F,2006.0,69.0
All Cancer Sites Combined,45-49,F,2007.0,87.0
All Cancer Sites Combined,45-49,F,2008.0,92.0
All Cancer Sites Combined,45-49,F,2009.0,72.0
All Cancer Sites Combined,45-49,F,2010.0,105.0
All Cancer Sites Combined,45-49,F,2011.0,87.0
All Cancer Sites Combined,45-49,M,1999.0,55.0
All Cancer Sites Combined,45-49,M,2000.0,54.0
All Cancer Sites Combined,45-49,M,2001.0,64.0
All Cancer Sites Combined,45-49,M,2002.0,71.0
All Cancer Sites Combined,45-49,M,2003.0,56.0
All Cancer Sites Combined,45-49,M,2004.0,55.0
All Cancer Sites Combined,45-49,M,2005.0,77.0
All Cancer Sites Combined,45-49,M,2006.0,81.0
All Cancer Sites Combined,45-49,M,2007.0,85.0
All Cancer Sites Combined,45-49,M,2008.0,107.0
All Cancer Sites Combined,45-49,M,2009.0,105.0
All Cancer Sites Combined,45-49,M,2010.0,108.0
All Cancer Sites Combined,45-49,M,2011.0,110.0
All Cancer Sites Combined,50-54,F,1999.0,53.0
All Cancer Sites Combined,50-54,F,2000.0,47.0
All Cancer Sites Combined,50-54,F,2001.0,56.0
All Cancer Sites Combined,50-54,F,2002.0,61.0
All Cancer Sites Combined,50-54,F,2003.0,69.0
All Cancer Sites Combined,50-54,F,2004.0,81.0
All Cancer Sites Combined,50-54,F,2005.0,72.0
All Cancer Sites Combined,50-54,F,2006.0,98.0
All Cancer Sites Combined,50-54,F,2007.0,108.0
All Cancer Sites Combined,50-54,F,2008.0,104.0
All Cancer Sites Combined,50-54,F,2009.0,98.0
All Cancer Sites Combined,50-54,F,2010.0,143.0
All Cancer Sites Combined,50-54,F,2011.0,167.0
All Cancer Sites Combined,50-54,M,1999.0,71.0
All Cancer Sites Combined,50-54,M,2000.0,87.0
All Cancer Sites Combined,50-54,M,2001.0,114.0
All Cancer Sites Combined,50-54,M,2002.0,110.0
All Cancer Sites Combined,50-54,M,2003.0,105.0
All Cancer Sites Combined,50-54,M,2004.0,109.0
All Cancer Sites Combined,50-54,M,2005.0,96.0
All Cancer Sites Combined,50-54,M,2006.0,125.0
All Cancer Sites Combined,50-54,M,2007.0,147.0
All Cancer Sites Combined,50-54,M,2008.0,151.0
All Cancer Sites Combined,50-54,M,2009.0,196.0
All Cancer Sites Combined,50-54,M,2010.0,214.0
All Cancer Sites Combined,50-54,M,2011.0,239.0
All Cancer Sites Combined,55-59,F,1999.0,39.0
All Cancer Sites Combined,55-59,F,2000.0,59.0
All Cancer Sites Combined,55-59,F,2001.0,64.0
All Cancer Sites Combined,55-59,F,2002.0,49.0
All Cancer Sites Combined,55-59,F,2003.0,74.0
All Cancer Sites Combined,55-59,F,2004.0,62.0
All Cancer Sites Combined,55-59,F,2005.0,76.0
All Cancer Sites Combined,55-59,F,2006.0,107.0
All Cancer Sites Combined,55-59,F,2007.0,112.0
All Cancer Sites Combined,55-59,F,2008.0,112.0
All Cancer Sites Combined,55-59,F,2009.0,109.0
All Cancer Sites Combined,55-59,F,2010.0,122.0
All Cancer Sites Combined,55-59,F,2011.0,136.0
All Cancer Sites Combined,55-59,M,1999.0,106.0
All Cancer Sites Combined,55-59,M,2000.0,103.0
All Cancer Sites Combined,55-59,M,2001.0,117.0
All Cancer Sites Combined,55-59,M,2002.0,133.0
All Cancer Sites Combined,55-59,M,2003.0,152.0
All Cancer Sites Combined,55-59,M,2004.0,144.0
All Cancer Sites Combined,55-59,M,2005.0,172.0
All Cancer Sites Combined,55-59,M,2006.0,169.0
All Cancer Sites Combined,55-59,M,2007.0,220.0
All Cancer Sites Combined,55-59,M,2008.0,220.0
All Cancer Sites Combined,55-59,M,2009.0,236.0
All Cancer Sites Combined,55-59,M,2010.0,289.0
All Cancer Sites Combined,55-59,M,2011.0,292.0
All Cancer Sites Combined,60-64,F,1999.0,28.0
All Cancer Sites Combined,60-64,F,2000.0,56.0
All Cancer Sites Combined,60-64,F,2001.0,54.0
All Cancer Sites Combined,60-64,F,2002.0,47.0
All Cancer Sites Combined,60-64,F,2003.0,58.0
All Cancer Sites Combined,60-64,F,2004.0,68.0
All Cancer Sites Combined,60-64,F,2005.0,74.0
All Cancer Sites Combined,60-64,F,2006.0,93.0
All Cancer Sites Combined,60-64,F,2007.0,102.0
All Cancer Sites Combined,60-64,F,2008.0,120.0
All Cancer Sites Combined,60-64,F,2009.0,109.0
All Cancer Sites Combined,60-64,F,2010.0,132.0
All Cancer Sites Combined,60-64,F,2011.0,127.0
All Cancer Sites Combined,60-64,M,1999.0,103.0
All Cancer Sites Combined,60-64,M,2000.0,137.0
All Cancer Sites Combined,60-64,M,2001.0,152.0
All Cancer Sites Combined,60-64,M,2002.0,152.0
All Cancer Sites Combined,60-64,M,2003.0,138.0
All Cancer Sites Combined,60-64,M,2004.0,172.0
All Cancer Sites Combined,60-64,M,2005.0,191.0
All Cancer Sites Combined,60-64,M,2006.0,212.0
All Cancer Sites Combined,60-64,M,2007.0,254.0
All Cancer Sites Combined,60-64,M,2008.0,265.0
All Cancer Sites Combined,60-64,M,2009.0,304.0
All Cancer Sites Combined,60-64,M,2010.0,409.0
All Cancer Sites Combined,60-64,M,2011.0,402.0
All Cancer Sites Combined,65-69,F,1999.0,47.0
All Cancer Sites Combined,65-69,F,2000.0,35.0
All Cancer Sites Combined,65-69,F,2001.0,51.0
All Cancer Sites Combined,65-69,F,2002.0,37.0
All Cancer Sites Combined,65-69,F,2003.0,63.0
All Cancer Sites Combined,65-69,F,2004.0,58.0
All Cancer Sites Combined,65-69,F,2005.0,55.0
All Cancer Sites Combined,65-69,F,2006.0,97.0
All Cancer Sites Combined,65-69,F,2007.0,92.0
All Cancer Sites Combined,65-69,F,2008.0,108.0
All Cancer Sites Combined,65-69,F,2009.0,108.0
All Cancer Sites Combined,65-69,F,2010.0,139.0
All Cancer Sites Combined,65-69,F,2011.0,116.0
All Cancer Sites Combined,65-69,M,1999.0,177.0
All Cancer Sites Combined,65-69,M,2000.0,129.0
All Cancer Sites Combined,65-69,M,2001.0,174.0
All Cancer Sites Combined,65-69,M,2002.0,161.0
All Cancer Sites Combined,65-69,M,2003.0,217.0
All Cancer Sites Combined,65-69,M,2004.0,176.0
All Cancer Sites Combined,65-69,M,2005.0,232.0
All Cancer Sites Combined,65-69,M,2006.0,253.0
All Cancer Sites Combined,65-69,M,2007.0,267.0
All Cancer Sites Combined,65-69,M,2008.0,349.0
All Cancer Sites Combined,65-69,M,2009.0,385.0
All Cancer Sites Combined,65-69,M,2010.0,483.0
All Cancer Sites Combined,65-69,M,2011.0,496.0
All Cancer Sites Combined,70-74,F,1999.0,62.0
All Cancer Sites Combined,70-74,F,2000.0,55.0
All Cancer Sites Combined,70-74,F,2001.0,64.0
All Cancer Sites Combined,70-74,F,2002.0,53.0
All Cancer Sites Combined,70-74,F,2003.0,55.0
All Cancer Sites Combined,70-74,F,2004.0,69.0
All Cancer Sites Combined,70-74,F,2005.0,60.0
All Cancer Sites Combined,70-74,F,2006.0,65.0
All Cancer Sites Combined,70-74,F,2007.0,90.0
All Cancer Sites Combined,70-74,F,2008.0,84.0
All Cancer Sites Combined,70-74,F,2009.0,102.0
All Cancer Sites Combined,70-74,F,2010.0,105.0
All Cancer Sites Combined,70-74,F,2011.0,112.0
All Cancer Sites Combined,70-74,M,1999.0,200.0
All Cancer Sites Combined,70-74,M,2000.0,204.0
All Cancer Sites Combined,70-74,M,2001.0,201.0
All Cancer Sites Combined,70-74,M,2002.0,223.0
All Cancer Sites Combined,70-74,M,2003.0,228.0
All Cancer Sites Combined,70-74,M,2004.0,225.0
All Cancer Sites Combined,70-74,M,2005.0,185.0
All Cancer Sites Combined,70-74,M,2006.0,255.0
All Cancer Sites Combined,70-74,M,2007.0,312.0
All Cancer Sites Combined,70-74,M,2008.0,269.0
All Cancer Sites Combined,70-74,M,2009.0,375.0
All Cancer Sites Combined,70-74,M,2010.0,422.0
All Cancer Sites Combined,70-74,M,2011.0,475.0
All Cancer Sites Combined,75-79,F,1999.0,52.0
All Cancer Sites Combined,75-79,F,2000.0,70.0
All Cancer Sites Combined,75-79,F,2001.0,65.0
All Cancer Sites Combined,75-79,F,2002.0,53.0
All Cancer Sites Combined,75-79,F,2003.0,68.0
All Cancer Sites Combined,75-79,F,2004.0,67.0
All Cancer Sites Combined,75-79,F,2005.0,72.0
All Cancer Sites Combined,75-79,F,2006.0,66.0
All Cancer Sites Combined,75-79,F,2007.0,79.0
All Cancer Sites Combined,75-79,F,2008.0,94.0
All Cancer Sites Combined,75-79,F,2009.0,98.0
All Cancer Sites Combined,75-79,F,2010.0,96.0
All Cancer Sites Combined,75-79,F,2011.0,86.0
All Cancer Sites Combined,75-79,M,1999.0,249.0
All Cancer Sites Combined,75-79,M,2000.0,212.0
All Cancer Sites Combined,75-79,M,2001.0,245.0
All Cancer Sites Combined,75-79,M,2002.0,214.0
All Cancer Sites Combined,75-79,M,2003.0,216.0
All Cancer Sites Combined,75-79,M,2004.0,234.0
All Cancer Sites Combined,75-79,M,2005.0,222.0
All Cancer Sites Combined,75-79,M,2006.0,257.0
All Cancer Sites Combined,75-79,M,2007.0,327.0
All Cancer Sites Combined,75-79,M,2008.0,330.0
All Cancer Sites Combined,75-79,M,2009.0,362.0
All Cancer Sites Combined,75-79,M,2010.0,345.0
All Cancer Sites Combined,75-79,M,2011.0,341.0
All Cancer Sites Combined,80-84,F,1999.0,53.0
All Cancer Sites Combined,80-84,F,2000.0,42.0
All Cancer Sites Combined,80-84,F,2001.0,56.0
All Cancer Sites Combined,80-84,F,2002.0,46.0
All Cancer Sites Combined,80-84,F,2003.0,63.0
All Cancer Sites Combined,80-84,F,2004.0,70.0
All Cancer Sites Combined,80-84,F,2005.0,55.0
All Cancer Sites Combined,80-84,F,2006.0,58.0
All Cancer Sites Combined,80-84,F,2007.0,101.0
All Cancer Sites Combined,80-84,F,2008.0,75.0
All Cancer Sites Combined,80-84,F,2009.0,74.0
All Cancer Sites Combined,80-84,F,2010.0,93.0
All Cancer Sites Combined,80-84,F,2011.0,77.0
All Cancer Sites Combined,80-84,M,1999.0,175.0
All Cancer Sites Combined,80-84,M,2000.0,185.0
All Cancer Sites Combined,80-84,M,2001.0,167.0
All Cancer Sites Combined,80-84,M,2002.0,203.0
All Cancer Sites Combined,80-84,M,2003.0,181.0
All Cancer Sites Combined,80-84,M,2004.0,200.0
All Cancer Sites Combined,80-84,M,2005.0,185.0
All Cancer Sites Combined,80-84,M,2006.0,183.0
All Cancer Sites Combined,80-84,M,2007.0,251.0
All Cancer Sites Combined,80-84,M,2008.0,221.0
All Cancer Sites Combined,80-84,M,2009.0,229.0
All Cancer Sites Combined,80-84,M,2010.0,239.0
All Cancer Sites Combined,80-84,M,2011.0,221.0
All Cancer Sites Combined,85+,F,1999.0,40.0
All Cancer Sites Combined,85+,F,2000.0,46.0
All Cancer Sites Combined,85+,F,2001.0,56.0
All Cancer Sites Combined,85+,F,2002.0,49.0
All Cancer Sites Combined,85+,F,2003.0,56.0
All Cancer Sites Combined,85+,F,2004.0,58.0
All Cancer Sites Combined,85+,F,2005.0,67.0
All Cancer Sites Combined,85+,F,2006.0,75.0
All Cancer Sites Combined,85+,F,2007.0,88.0
All Cancer Sites Combined,85+,F,2008.0,90.0
All Cancer Sites Combined,85+,F,2009.0,80.0
All Cancer Sites Combined,85+,F,2010.0,104.0
All Cancer Sites Combined,85+,F,2011.0,89.0
All Cancer Sites Combined,85+,M,1999.0,77.0
All Cancer Sites Combined,85+,M,2000.0,92.0
All Cancer Sites Combined,85+,M,2001.0,102.0
All Cancer Sites Combined,85+,M,2002.0,97.0
All Cancer Sites Combined,85+,M,2003.0,106.0
All Cancer Sites Combined,85+,M,2004.0,135.0
All Cancer Sites Combined,85+,M,2005.0,107.0
All Cancer Sites Combined,85+,M,2006.0,133.0
All Cancer Sites Combined,85+,M,2007.0,190.0
All Cancer Sites Combined,85+,M,2008.0,142.0
All Cancer Sites Combined,85+,M,2009.0,137.0
All Cancer Sites Combined,85+,M,2010.0,180.0
All Cancer Sites Combined,85+,M,2011.0,173.0
Digestive System,50-54,F,2006.0,16.0
Digestive System,50-54,F,2010.0,23.0
Digestive System,50-54,F,2011.0,30.0
Digestive System,50-54,M,2001.0,16.0
Digestive System,50-54,M,2003.0,19.0
Digestive System,50-54,M,2004.0,16.0
Digestive System,50-54,M,2006.0,22.0
Digestive System,50-54,M,2007.0,20.0
Digestive System,50-54,M,2008.0,25.0
Digestive System,50-54,M,2009.0,22.0
Digestive System,50-54,M,2010.0,32.0
Digestive System,50-54,M,2011.0,33.0
Digestive System,55-59,F,2010.0,17.0
Digestive System,55-59,F,2011.0,17.0
Digestive System,55-59,M,2006.0,17.0
Digestive System,55-59,M,2007.0,18.0
Digestive System,55-59,M,2008.0,16.0
Digestive System,55-59,M,2009.0,26.0
Digestive System,55-59,M,2010.0,28.0
Digestive System,55-59,M,2011.0,21.0
Digestive System,60-64,F,2007.0,16.0
Digestive System,60-64,F,2010.0,16.0
Digestive System,60-64,F,2011.0,16.0
Digestive System,60-64,M,2004.0,17.0
Digestive System,60-64,M,2005.0,17.0
Digestive System,60-64,M,2007.0,20.0
Digestive System,60-64,M,2008.0,17.0
