,Age Group,Sex,Year,Count
Digestive System,60-64,M,2009.0,18.0
Digestive System,60-64,M,2010.0,25.0
Digestive System,60-64,M,2011.0,30.0
Digestive System,65-69,F,2007.0,19.0
Digestive System,65-69,F,2008.0,17.0
Digestive System,65-69,F,2010.0,18.0
Digestive System,65-69,F,2011.0,19.0
Digestive System,65-69,M,1999.0,18.0
Digestive System,65-69,M,2003.0,20.0
Digestive System,65-69,M,2005.0,17.0
Digestive System,65-69,M,2007.0,19.0
Digestive System,65-69,M,2008.0,34.0
Digestive System,65-69,M,2009.0,26.0
Digestive System,65-69,M,2010.0,27.0
Digestive System,65-69,M,2011.0,23.0
Digestive System,70-74,F,2010.0,17.0
Digestive System,70-74,M,2002.0,16.0
Digestive System,70-74,M,2005.0,17.0
Digestive System,70-74,M,2006.0,21.0
Digestive System,70-74,M,2010.0,25.0
Digestive System,70-74,M,2011.0,23.0
Digestive System,75-79,M,2004.0,16.0
Digestive System,75-79,M,2008.0,18.0
Digestive System,75-79,M,2010.0,21.0
Digestive System,80-84,M,2011.0,17.0
Digestive System,85+,M,2011.0,18.0
Colon and Rectum,50-54,F,2010.0,19.0
Colon and Rectum,50-54,F,2011.0,22.0
Colon and Rectum,50-54,M,2006.0,18.0
Colon and Rectum,50-54,M,2007.0,16.0
Colon and Rectum,50-54,M,2008.0,20.0
Colon and Rectum,50-54,M,2009.0,17.0
Colon and Rectum,50-54,M,2010.0,20.0
Colon and Rectum,50-54,M,2011.0,21.0
Colon and Rectum,55-59,M,2009.0,18.0
Colon and Rectum,55-59,M,2010.0,19.0
Colon and Rectum,60-64,M,2010.0,17.0
Colon and Rectum,60-64,M,2011.0,17.0
Colon and Rectum,65-69,M,2007.0,16.0
Colon and Rectum,65-69,M,2008.0,22.0
Colon and Rectum,65-69,M,2011.0,20.0
Colon and Rectum,70-74,M,2010.0,18.0
Skin excluding Basal and Squamous,25-29,F,2008.0,18.0
Skin excluding Basal and Squamous,30-34,F,2002.0,18.0
Skin excluding Basal and Squamous,30-34,F,2003.0,16.0
Skin excluding Basal and Squamous,30-34,F,2004.0,16.0
Skin excluding Basal and Squamous,30-34,F,2007.0,18.0
Skin excluding Basal and Squamous,30-34,F,2011.0,16.0
Skin excluding Basal and Squamous,35-39,F,1999.0,19.0
Skin excluding Basal and Squamous,35-39,F,2001.0,22.0
Skin excluding Basal and Squamous,35-39,F,2002.0,20.0
Skin excluding Basal and Squamous,35-39,F,2004.0,19.0
Skin excluding Basal and Squamous,35-39,F,2005.0,16.0
Skin excluding Basal and Squamous,35-39,F,2006.0,23.0
Skin excluding Basal and Squamous,35-39,F,2007.0,31.0
Skin excluding Basal and Squamous,35-39,F,2008.0,22.0
Skin excluding Basal and Squamous,35-39,M,2002.0,16.0
Skin excluding Basal and Squamous,40-44,F,2000.0,31.0
Skin excluding Basal and Squamous,40-44,F,2001.0,23.0
Skin excluding Basal and Squamous,40-44,F,2002.0,23.0
Skin excluding Basal and Squamous,40-44,F,2004.0,25.0
Skin excluding Basal and Squamous,40-44,F,2005.0,17.0
Skin excluding Basal and Squamous,40-44,F,2006.0,18.0
Skin excluding Basal and Squamous,40-44,F,2007.0,23.0
Skin excluding Basal and Squamous,40-44,F,2008.0,18.0
Skin excluding Basal and Squamous,40-44,F,2009.0,29.0
Skin excluding Basal and Squamous,40-44,F,2010.0,29.0
Skin excluding Basal and Squamous,40-44,F,2011.0,24.0
Skin excluding Basal and Squamous,40-44,M,1999.0,22.0
Skin excluding Basal and Squamous,40-44,M,2001.0,24.0
Skin excluding Basal and Squamous,40-44,M,2002.0,16.0
Skin excluding Basal and Squamous,40-44,M,2003.0,16.0
Skin excluding Basal and Squamous,40-44,M,2005.0,17.0
Skin excluding Basal and Squamous,40-44,M,2006.0,18.0
Skin excluding Basal and Squamous,40-44,M,2007.0,18.0
Skin excluding Basal and Squamous,40-44,M,2008.0,25.0
Skin excluding Basal and Squamous,40-44,M,2009.0,25.0
Skin excluding Basal and Squamous,40-44,M,2010.0,16.0
Skin excluding Basal and Squamous,45-49,F,1999.0,19.0
Skin excluding Basal and Squamous,45-49,F,2000.0,19.0
Skin excluding Basal and Squamous,45-49,F,2001.0,23.0
Skin excluding Basal and Squamous,45-49,F,2002.0,23.0
Skin excluding Basal and Squamous,45-49,F,2003.0,21.0
Skin excluding Basal and Squamous,45-49,F,2004.0,25.0
Skin excluding Basal and Squamous,45-49,F,2005.0,27.0
Skin excluding Basal and Squamous,45-49,F,2006.0,27.0
Skin excluding Basal and Squamous,45-49,F,2007.0,32.0
Skin excluding Basal and Squamous,45-49,F,2008.0,26.0
Skin excluding Basal and Squamous,45-49,F,2009.0,26.0
Skin excluding Basal and Squamous,45-49,F,2010.0,33.0
Skin excluding Basal and Squamous,45-49,F,2011.0,22.0
Skin excluding Basal and Squamous,45-49,M,1999.0,29.0
Skin excluding Basal and Squamous,45-49,M,2000.0,21.0
Skin excluding Basal and Squamous,45-49,M,2001.0,23.0
Skin excluding Basal and Squamous,45-49,M,2002.0,23.0
Skin excluding Basal and Squamous,45-49,M,2003.0,16.0
Skin excluding Basal and Squamous,45-49,M,2005.0,26.0
Skin excluding Basal and Squamous,45-49,M,2006.0,23.0
Skin excluding Basal and Squamous,45-49,M,2007.0,29.0
Skin excluding Basal and Squamous,45-49,M,2008.0,48.0
Skin excluding Basal and Squamous,45-49,M,2009.0,20.0
Skin excluding Basal and Squamous,45-49,M,2010.0,40.0
Skin excluding Basal and Squamous,45-49,M,2011.0,30.0
Skin excluding Basal and Squamous,50-54,F,1999.0,16.0
Skin excluding Basal and Squamous,50-54,F,2002.0,19.0
Skin excluding Basal and Squamous,50-54,F,2003.0,17.0
Skin excluding Basal and Squamous,50-54,F,2004.0,24.0
Skin excluding Basal and Squamous,50-54,F,2005.0,20.0
Skin excluding Basal and Squamous,50-54,F,2006.0,20.0
Skin excluding Basal and Squamous,50-54,F,2007.0,38.0
Skin excluding Basal and Squamous,50-54,F,2008.0,31.0
Skin excluding Basal and Squamous,50-54,F,2009.0,24.0
Skin excluding Basal and Squamous,50-54,F,2010.0,54.0
Skin excluding Basal and Squamous,50-54,F,2011.0,50.0
Skin excluding Basal and Squamous,50-54,M,1999.0,20.0
Skin excluding Basal and Squamous,50-54,M,2000.0,23.0
Skin excluding Basal and Squamous,50-54,M,2001.0,25.0
Skin excluding Basal and Squamous,50-54,M,2002.0,26.0
Skin excluding Basal and Squamous,50-54,M,2003.0,20.0
Skin excluding Basal and Squamous,50-54,M,2004.0,20.0
Skin excluding Basal and Squamous,50-54,M,2005.0,18.0
Skin excluding Basal and Squamous,50-54,M,2006.0,17.0
Skin excluding Basal and Squamous,50-54,M,2007.0,36.0
Skin excluding Basal and Squamous,50-54,M,2008.0,25.0
Skin excluding Basal and Squamous,50-54,M,2009.0,48.0
Skin excluding Basal and Squamous,50-54,M,2010.0,52.0
Skin excluding Basal and Squamous,50-54,M,2011.0,58.0
Skin excluding Basal and Squamous,55-59,F,2003.0,19.0
Skin excluding Basal and Squamous,55-59,F,2005.0,19.0
Skin excluding Basal and Squamous,55-59,F,2006.0,25.0
Skin excluding Basal and Squamous,55-59,F,2007.0,27.0
Skin excluding Basal and Squamous,55-59,F,2008.0,32.0
Skin excluding Basal and Squamous,55-59,F,2009.0,32.0
Skin excluding Basal and Squamous,55-59,F,2010.0,29.0
Skin excluding Basal and Squamous,55-59,F,2011.0,40.0
Skin excluding Basal and Squamous,55-59,M,1999.0,18.0
Skin excluding Basal and Squamous,55-59,M,2001.0,28.0
Skin excluding Basal and Squamous,55-59,M,2002.0,24.0
Skin excluding Basal and Squamous,55-59,M,2003.0,23.0
Skin excluding Basal and Squamous,55-59,M,2004.0,30.0
Skin excluding Basal and Squamous,55-59,M,2005.0,31.0
Skin excluding Basal and Squamous,55-59,M,2006.0,28.0
Skin excluding Basal and Squamous,55-59,M,2007.0,45.0
Skin excluding Basal and Squamous,55-59,M,2008.0,36.0
Skin excluding Basal and Squamous,55-59,M,2009.0,47.0
Skin excluding Basal and Squamous,55-59,M,2010.0,51.0
Skin excluding Basal and Squamous,55-59,M,2011.0,41.0
Skin excluding Basal and Squamous,60-64,F,2007.0,20.0
Skin excluding Basal and Squamous,60-64,F,2008.0,32.0
Skin excluding Basal and Squamous,60-64,F,2009.0,32.0
Skin excluding Basal and Squamous,60-64,F,2010.0,34.0
Skin excluding Basal and Squamous,60-64,F,2011.0,38.0
Skin excluding Basal and Squamous,60-64,M,2000.0,19.0
Skin excluding Basal and Squamous,60-64,M,2001.0,25.0
Skin excluding Basal and Squamous,60-64,M,2002.0,20.0
Skin excluding Basal and Squamous,60-64,M,2004.0,25.0
Skin excluding Basal and Squamous,60-64,M,2005.0,24.0
Skin excluding Basal and Squamous,60-64,M,2006.0,25.0
Skin excluding Basal and Squamous,60-64,M,2007.0,36.0
Skin excluding Basal and Squamous,60-64,M,2008.0,35.0
Skin excluding Basal and Squamous,60-64,M,2009.0,39.0
Skin excluding Basal and Squamous,60-64,M,2010.0,58.0
Skin excluding Basal and Squamous,60-64,M,2011.0,51.0
Skin excluding Basal and Squamous,65-69,F,2008.0,19.0
Skin excluding Basal and Squamous,65-69,F,2009.0,24.0
Skin excluding Basal and Squamous,65-69,F,2010.0,33.0
Skin excluding Basal and Squamous,65-69,F,2011.0,20.0
Skin excluding Basal and Squamous,65-69,M,1999.0,16.0
Skin excluding Basal and Squamous,65-69,M,2002.0,17.0
Skin excluding Basal and Squamous,65-69,M,2003.0,20.0
Skin excluding Basal and Squamous,65-69,M,2004.0,16.0
Skin excluding Basal and Squamous,65-69,M,2005.0,21.0
Skin excluding Basal and Squamous,65-69,M,2006.0,17.0
Skin excluding Basal and Squamous,65-69,M,2007.0,28.0
Skin excluding Basal and Squamous,65-69,M,2008.0,39.0
Skin excluding Basal and Squamous,65-69,M,2009.0,41.0
Skin excluding Basal and Squamous,65-69,M,2010.0,55.0
Skin excluding Basal and Squamous,65-69,M,2011.0,61.0
Skin excluding Basal and Squamous,70-74,F,2009.0,23.0
Skin excluding Basal and Squamous,70-74,F,2010.0,29.0
Skin excluding Basal and Squamous,70-74,F,2011.0,24.0
Skin excluding Basal and Squamous,70-74,M,2001.0,23.0
Skin excluding Basal and Squamous,70-74,M,2003.0,17.0
Skin excluding Basal and Squamous,70-74,M,2006.0,22.0
Skin excluding Basal and Squamous,70-74,M,2007.0,25.0
Skin excluding Basal and Squamous,70-74,M,2008.0,30.0
Skin excluding Basal and Squamous,70-74,M,2009.0,33.0
Skin excluding Basal and Squamous,70-74,M,2010.0,41.0
Skin excluding Basal and Squamous,70-74,M,2011.0,50.0
Skin excluding Basal and Squamous,75-79,F,2005.0,18.0
Skin excluding Basal and Squamous,75-79,F,2007.0,17.0
Skin excluding Basal and Squamous,75-79,F,2009.0,23.0
Skin excluding Basal and Squamous,75-79,F,2010.0,27.0
Skin excluding Basal and Squamous,75-79,F,2011.0,21.0
Skin excluding Basal and Squamous,75-79,M,2001.0,16.0
Skin excluding Basal and Squamous,75-79,M,2006.0,19.0
Skin excluding Basal and Squamous,75-79,M,2007.0,29.0
Skin excluding Basal and Squamous,75-79,M,2008.0,24.0
Skin excluding Basal and Squamous,75-79,M,2009.0,43.0
Skin excluding Basal and Squamous,75-79,M,2010.0,41.0
Skin excluding Basal and Squamous,75-79,M,2011.0,33.0
Skin excluding Basal and Squamous,80-84,F,2007.0,18.0
Skin excluding Basal and Squamous,80-84,F,2009.0,18.0
Skin excluding Basal and Squamous,80-84,F,2010.0,22.0
Skin excluding Basal and Squamous,80-84,M,2001.0,16.0
Skin excluding Basal and Squamous,80-84,M,2006.0,17.0
Skin excluding Basal and Squamous,80-84,M,2007.0,23.0
Skin excluding Basal and Squamous,80-84,M,2008.0,20.0
Skin excluding Basal and Squamous,80-84,M,2009.0,31.0
Skin excluding Basal and Squamous,80-84,M,2010.0,33.0
Skin excluding Basal and Squamous,80-84,M,2011.0,26.0
Skin excluding Basal and Squamous,85+,F,2006.0,17.0
Skin excluding Basal and Squamous,85+,F,2007.0,22.0
Skin excluding Basal and Squamous,85+,F,2008.0,16.0
Skin excluding Basal and Squamous,85+,F,2009.0,17.0
Skin excluding Basal and Squamous,85+,F,2010.0,24.0
Skin excluding Basal and Squamous,85+,F,2011.0,23.0
Skin excluding Basal and Squamous,85+,M,2004.0,16.0
Skin excluding Basal and Squamous,85+,M,2006.0,16.0
Skin excluding Basal and Squamous,85+,M,2007.0,23.0
Skin excluding Basal and Squamous,85+,M,2008.0,20.0
Skin excluding Basal and Squamous,85+,M,2009.0,18.0
Skin excluding Basal and Squamous,85+,M,2010.0,37.0
Skin excluding Basal and Squamous,85+,M,2011.0,34.0
Melanoma of the Skin,25-29,F,2008.0,18.0
Melanoma of the Skin,30-34,F,2002.0,17.0
Melanoma of the Skin,30-34,F,2004.0,16.0
Melanoma of the Skin,30-34,F,2007.0,16.0
Melanoma of the Skin,35-39,F,1999.0,17.0
Melanoma of the Skin,35-39,F,2001.0,22.0
Melanoma of the Skin,35-39,F,2002.0,20.0
Melanoma of the Skin,35-39,F,2004.0,17.0
Melanoma of the Skin,35-39,F,2006.0,20.0
Melanoma of the Skin,35-39,F,2007.0,29.0
Melanoma of the Skin,35-39,F,2008.0,22.0
Melanoma of the Skin,40-44,F,2000.0,30.0
Melanoma of the Skin,40-44,F,2001.0,22.0
Melanoma of the Skin,40-44,F,2002.0,22.0
Melanoma of the Skin,40-44,F,2004.0,24.0
Melanoma of the Skin,40-44,F,2005.0,17.0
Melanoma of the Skin,40-44,F,2006.0,16.0
Melanoma of the Skin,40-44,F,2007.0,23.0
Melanoma of the Skin,40-44,F,2008.0,17.0
Melanoma of the Skin,40-44,F,2009.0,26.0
Melanoma of the Skin,40-44,F,2010.0,29.0
Melanoma of the Skin,40-44,F,2011.0,24.0
Melanoma of the Skin,40-44,M,1999.0,21.0
Melanoma of the Skin,40-44,M,2001.0,23.0
Melanoma of the Skin,40-44,M,2002.0,16.0
Melanoma of the Skin,40-44,M,2005.0,17.0
Melanoma of the Skin,40-44,M,2006.0,18.0
Melanoma of the Skin,40-44,M,2007.0,16.0
Melanoma of the Skin,40-44,M,2008.0,22.0
Melanoma of the Skin,40-44,M,2009.0,25.0
Melanoma of the Skin,40-44,M,2010.0,16.0
Melanoma of the Skin,45-49,F,1999.0,19.0
Melanoma of the Skin,45-49,F,2000.0,19.0
Melanoma of the Skin,45-49,F,2001.0,22.0
Melanoma of the Skin,45-49,F,2002.0,21.0
Melanoma of the Skin,45-49,F,2003.0,21.0
Melanoma of the Skin,45-49,F,2004.0,24.0
Melanoma of the Skin,45-49,F,2005.0,22.0
Melanoma of the Skin,45-49,F,2006.0,24.0
Melanoma of the Skin,45-49,F,2007.0,30.0
Melanoma of the Skin,45-49,F,2008.0,26.0
Melanoma of the Skin,45-49,F,2009.0,23.0
Melanoma of the Skin,45-49,F,2010.0,30.0
Melanoma of the Skin,45-49,F,2011.0,22.0
Melanoma of the Skin,45-49,M,1999.0,29.0
Melanoma of the Skin,45-49,M,2000.0,19.0
Melanoma of the Skin,45-49,M,2001.0,22.0
Melanoma of the Skin,45-49,M,2002.0,22.0
Melanoma of the Skin,45-49,M,2003.0,16.0
Melanoma of the Skin,45-49,M,2005.0,25.0
Melanoma of the Skin,45-49,M,2006.0,20.0
Melanoma of the Skin,45-49,M,2007.0,29.0
Melanoma of the Skin,45-49,M,2008.0,42.0
Melanoma of the Skin,45-49,M,2009.0,19.0
Melanoma of the Skin,45-49,M,2010.0,40.0
Melanoma of the Skin,45-49,M,2011.0,28.0
Melanoma of the Skin,50-54,F,1999.0,16.0
Melanoma of the Skin,50-54,F,2002.0,18.0
Melanoma of the Skin,50-54,F,2003.0,16.0
Melanoma of the Skin,50-54,F,2004.0,22.0
Melanoma of the Skin,50-54,F,2005.0,20.0
Melanoma of the Skin,50-54,F,2006.0,19.0
Melanoma of the Skin,50-54,F,2007.0,35.0
Melanoma of the Skin,50-54,F,2008.0,30.0
Melanoma of the Skin,50-54,F,2009.0,22.0
Melanoma of the Skin,50-54,F,2010.0,54.0
Melanoma of the Skin,50-54,F,2011.0,45.0
Melanoma of the Skin,50-54,M,1999.0,16.0
Melanoma of the Skin,50-54,M,2000.0,19.0
Melanoma of the Skin,50-54,M,2001.0,24.0
Melanoma of the Skin,50-54,M,2002.0,26.0
Melanoma of the Skin,50-54,M,2003.0,17.0
Melanoma of the Skin,50-54,M,2004.0,18.0
Melanoma of the Skin,50-54,M,2005.0,16.0
Melanoma of the Skin,50-54,M,2006.0,17.0
Melanoma of the Skin,50-54,M,2007.0,34.0
Melanoma of the Skin,50-54,M,2008.0,24.0
Melanoma of the Skin,50-54,M,2009.0,45.0
Melanoma of the Skin,50-54,M,2010.0,52.0
Melanoma of the Skin,50-54,M,2011.0,55.0
Melanoma of the Skin,55-59,F,2003.0,18.0
Melanoma of the Skin,55-59,F,2005.0,18.0
Melanoma of the Skin,55-59,F,2006.0,22.0
Melanoma of the Skin,55-59,F,2007.0,27.0
Melanoma of the Skin,55-59,F,2008.0,32.0
Melanoma of the Skin,55-59,F,2009.0,28.0
Melanoma of the Skin,55-59,F,2010.0,28.0
Melanoma of the Skin,55-59,F,2011.0,39.0
Melanoma of the Skin,55-59,M,1999.0,17.0
Melanoma of the Skin,55-59,M,2001.0,27.0
Melanoma of the Skin,55-59,M,2002.0,22.0
Melanoma of the Skin,55-59,M,2003.0,23.0
Melanoma of the Skin,55-59,M,2004.0,27.0
Melanoma of the Skin,55-59,M,2005.0,30.0
Melanoma of the Skin,55-59,M,2006.0,27.0
Melanoma of the Skin,55-59,M,2007.0,41.0
Melanoma of the Skin,55-59,M,2008.0,33.0
Melanoma of the Skin,55-59,M,2009.0,40.0
Melanoma of the Skin,55-59,M,2010.0,50.0
Melanoma of the Skin,55-59,M,2011.0,39.0
Melanoma of the Skin,60-64,F,2007.0,19.0
Melanoma of the Skin,60-64,F,2008.0,32.0
Melanoma of the Skin,60-64,F,2009.0,29.0
Melanoma of the Skin,60-64,F,2010.0,33.0
Melanoma of the Skin,60-64,F,2011.0,37.0
Melanoma of the Skin,60-64,M,2000.0,17.0
Melanoma of the Skin,60-64,M,2001.0,23.0
Melanoma of the Skin,60-64,M,2002.0,18.0
Melanoma of the Skin,60-64,M,2004.0,23.0
Melanoma of the Skin,60-64,M,2005.0,22.0
Melanoma of the Skin,60-64,M,2006.0,23.0
Melanoma of the Skin,60-64,M,2007.0,32.0
Melanoma of the Skin,60-64,M,2008.0,33.0
Melanoma of the Skin,60-64,M,2009.0,37.0
Melanoma of the Skin,60-64,M,2010.0,55.0
Melanoma of the Skin,60-64,M,2011.0,49.0
Melanoma of the Skin,65-69,F,2008.0,19.0
Melanoma of the Skin,65-69,F,2009.0,22.0
Melanoma of the Skin,65-69,F,2010.0,32.0
Melanoma of the Skin,65-69,F,2011.0,20.0
Melanoma of the Skin,65-69,M,2002.0,16.0
Melanoma of the Skin,65-69,M,2003.0,17.0
Melanoma of the Skin,65-69,M,2005.0,20.0
Melanoma of the Skin,65-69,M,2007.0,25.0
Melanoma of the Skin,65-69,M,2008.0,35.0
Melanoma of the Skin,65-69,M,2009.0,36.0
